id,map,round,seconds,att_side,vic_side,hp_dmg,arm_dmg,wp,wp_type,award
27394,de_mirage,2,233.8255,Terrorist,CounterTerrorist,30,1,Deagle,Pistol,300
43277,de_dust2,2,233.8312,Terrorist,CounterTerrorist,13,3,P90,SMG,300
7218,de_dust2,1,233.8423,Terrorist,CounterTerrorist,20,0,Glock,Pistol,300
37886,de_train,2,233.8439,CounterTerrorist,Terrorist,16,8,USP,Pistol,300
43967,de_cache,2,233.9408,Terrorist,CounterTerrorist,23,0,P90,SMG,300
11422,de_mirage,1,233.9733,Terrorist,CounterTerrorist,17,0,Glock,Pistol,300
38690,de_dust2,2,233.9855,Terrorist,CounterTerrorist,26,0,AK47,Rifle,300
39901,de_overpass,2,233.9922,CounterTerrorist,Terrorist,23,3,P250,Pistol,300
44848,de_mirage,2,233.9939,Terrorist,CounterTerrorist,3,0,Incendiary,Grenade,300
37887,de_train,2,234.0316,Terrorist,CounterTerrorist,22,0,UMP,SMG,600
38691,de_dust2,2,234.0793,Terrorist,CounterTerrorist,4,0,AK47,Rifle,300
7219,de_dust2,1,234.0923,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
4292,de_mirage,2,234.0938,Terrorist,CounterTerrorist,100,0,Scout,Sniper,300
11423,de_mirage,1,234.1295,CounterTerrorist,Terrorist,29,0,USP,Pistol,300
39902,de_overpass,2,234.1485,CounterTerrorist,Terrorist,23,3,P250,Pistol,300
44849,de_mirage,2,234.1814,Terrorist,CounterTerrorist,4,0,Incendiary,Grenade,300
7220,de_dust2,1,234.1861,Terrorist,CounterTerrorist,20,0,Glock,Pistol,300
37888,de_train,2,234.188,CounterTerrorist,Terrorist,21,10,USP,Pistol,300
12236,de_dust2,2,234.209,Terrorist,CounterTerrorist,28,0,Mac10,SMG,600
17893,de_overpass,2,234.2333,CounterTerrorist,Terrorist,61,29,USP,Pistol,300
43278,de_dust2,2,234.2374,Terrorist,CounterTerrorist,3,12,P90,SMG,300
37889,de_train,2,234.313,Terrorist,CounterTerrorist,37,0,UMP,SMG,600
11424,de_mirage,1,234.317,CounterTerrorist,Terrorist,29,0,USP,Pistol,300
11425,de_mirage,1,234.317,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
44850,de_mirage,2,234.369,Terrorist,CounterTerrorist,4,0,Incendiary,Grenade,300
7689,de_dust2,2,234.3694,Terrorist,CounterTerrorist,11,4,Bizon,SMG,600
43968,de_cache,2,234.3786,Terrorist,CounterTerrorist,14,0,P90,SMG,300
17894,de_overpass,2,234.4209,CounterTerrorist,Terrorist,39,30,USP,Pistol,300
39295,de_mirage,2,234.4424,CounterTerrorist,Terrorist,28,0,USP,Pistol,300
12237,de_dust2,2,234.459,Terrorist,CounterTerrorist,27,0,Mac10,SMG,600
7690,de_dust2,2,234.4632,Terrorist,CounterTerrorist,8,5,Bizon,SMG,600
24902,de_inferno,2,234.5323,Terrorist,CounterTerrorist,1,0,Smoke,Grenade,300
23511,de_cbble,2,234.5331,Terrorist,CounterTerrorist,13,0,USP,Pistol,300
44851,de_mirage,2,234.5877,Terrorist,CounterTerrorist,5,0,Incendiary,Grenade,300
39903,de_overpass,2,234.6175,CounterTerrorist,Terrorist,23,3,P250,Pistol,300
